URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://worldhealthorganization.github.io/smart-ot/AnimalContactLocation,0.2.1,draft,,AnimalContactLocationCs,Animal Contact Location,"Animal Contact Location",
http://worldhealthorganization.github.io/smart-ot/AnimalContactType,0.2.1,draft,,AnimalContactTypeCs,Animal Contact Type,"Animal Contact Type",
http://worldhealthorganization.github.io/smart-ot/CaseStatus,0.2.1,draft,,CaseStatusCs,Case Status,"Case Status",
http://worldhealthorganization.github.io/smart-ot/CodeSystem/AFROMRCIF,0.2.1,draft,,AFROMRCIF,AFRO MRCIF CodeSystem for Data Elements,"CodeSystem for PAHO MRCIF Data Elements",
http://worldhealthorganization.github.io/smart-ot/CodeSystem/AntigenCs,0.2.1,draft,,AntigenCs,Antigen Code System,"Antigen Code System",
http://worldhealthorganization.github.io/smart-ot/CodeSystem/PAHO-MRCIF,0.2.1,draft,,PAHO_MRCIF,PAHO MRCIF CodeSystem for Data Elements,"CodeSystem for PAHO MRCIF Data Elements",
http://worldhealthorganization.github.io/smart-ot/ConfirmationBasis,0.2.1,draft,,ConfirmationBasisCs,Confirmation Basis,"Confirmation Basis",
http://worldhealthorganization.github.io/smart-ot/ContactType,0.2.1,draft,,ContactTypeCs,Contact Type,"Contact Type",
http://worldhealthorganization.github.io/smart-ot/DetectedBy,0.2.1,draft,,DetectedByCs,Detected By Code System,"Detected By Code System",
http://worldhealthorganization.github.io/smart-ot/DiscardingBasis,0.2.1,draft,,DiscardingBasisCs,Discarding Basis,"Discarding Basis",
http://worldhealthorganization.github.io/smart-ot/DomesticatedWild,0.2.1,draft,,DomesticatedWildCs,Domesticated or Wild,"Domesticated or Wild",
http://worldhealthorganization.github.io/smart-ot/ExposureLocation,0.2.1,draft,,AnimalExposureLocationCs,Exposure Location,"Exposure Location",
http://worldhealthorganization.github.io/smart-ot/ExposureLocation,0.2.1,draft,,ExposureLocationCs,Exposure Location,"Exposure Location",
http://worldhealthorganization.github.io/smart-ot/FinalClassification,0.2.1,draft,,FinalClassificationCs,Final Classification,"Final Classification",
http://worldhealthorganization.github.io/smart-ot/InfectionSetting,0.2.1,draft,,InfectionSettingCs,InfectionSetting,"InfectionSetting",
http://worldhealthorganization.github.io/smart-ot/InitDiag,0.2.1,draft,,InitDiagCs,Initial Diagnosis Code System,"Initial Diagnosis Code System",
http://worldhealthorganization.github.io/smart-ot/LocType,0.2.1,draft,,LocTypeCs,Locality Type Code System,"Locality Type Code System",
http://worldhealthorganization.github.io/smart-ot/LocalCasesPresent,0.2.1,draft,,LocalCasesPresentCs,LocalCasesPresent,"LocalCasesPresent",
http://worldhealthorganization.github.io/smart-ot/LocalizationOfSkinDisorder,0.2.1,draft,,LocalizationOfSkinDisorderCs,Localization of Skin Disorder,"Localization of Skin Disorder",
http://worldhealthorganization.github.io/smart-ot/NoOfDoses,0.2.1,draft,,NoOfDosesCs,Number of Doses,"Number of Doses",
http://worldhealthorganization.github.io/smart-ot/PathogenTested,0.2.1,draft,,PathogenTestedCs,Pathogen Tested,"Pathogen Tested",
http://worldhealthorganization.github.io/smart-ot/PatientOutcome,0.2.1,draft,,PatientOutcomeCs,Patient Clinical Course Outcome,"Patient Clinical Course Outcome",
http://worldhealthorganization.github.io/smart-ot/PlaceOfCare,0.2.1,draft,,PlaceOfCareCs,Place Of Care,"Place Of Care",
http://worldhealthorganization.github.io/smart-ot/ProvType,0.2.1,draft,,ProvTypeCs,Type of Provider Code System,"Type of Provider Code System",
http://worldhealthorganization.github.io/smart-ot/RashType,0.2.1,draft,,RashTypeCs,Rash Type,"Rash Type",
http://worldhealthorganization.github.io/smart-ot/ReportedBy,0.2.1,draft,,ReportedByCs,Reported By,"Reported By",
http://worldhealthorganization.github.io/smart-ot/Result,0.2.1,draft,,ResultCs,Result Code System,"Result Code System",
http://worldhealthorganization.github.io/smart-ot/Results,0.2.1,draft,,ResultsCs,Results,"Results",
http://worldhealthorganization.github.io/smart-ot/RouteOfAdministration,0.2.1,draft,,RouteOfAdministrationCs,Route Of Administration,"Route Of Administration",
http://worldhealthorganization.github.io/smart-ot/SampleType,0.2.1,draft,,SampleTypeCs,Sample Type Code System,"Sample Type Code System",
http://worldhealthorganization.github.io/smart-ot/SourceOfInfection,0.2.1,draft,,SourceOfInfectionCs,Source Of Infection,"Source Of Infection",
http://worldhealthorganization.github.io/smart-ot/SourceOfInformation,0.2.1,draft,,SourceOfInformationCs,Source Of Information,"Source Of Information",
http://worldhealthorganization.github.io/smart-ot/SpecimenCollected,0.2.1,draft,,SpecimenCollectedCs,Specimen Collected,"Specimen Collected",
http://worldhealthorganization.github.io/smart-ot/SpecimenNumber,0.2.1,draft,,SpecimenNumberCs,Specimen Number Code System,"Specimen Number Code System",
http://worldhealthorganization.github.io/smart-ot/TestPerformed,0.2.1,draft,,TestPerformedCs,Test Performed Code System,"Test Performed Code System",
http://worldhealthorganization.github.io/smart-ot/TestType,0.2.1,draft,,TestTypeCs,Test Type,"Test Type",
http://worldhealthorganization.github.io/smart-ot/VaccineInfoSource,0.2.1,draft,,VaccineInfoSourceCs,Vaccine Info Source,"Vaccine Info Source",
http://worldhealthorganization.github.io/smart-ot/VaccineType,0.2.1,draft,,VaccineTypeCs,Vaccine Type,"Vaccine Type",
http://worldhealthorganization.github.io/smart-ot/WaterCharacteristics,0.2.1,draft,,WaterCharacteristicsCs,Water Characteristics,"Water Characteristics",
http://worldhealthorganization.github.io/smart-ot/YesNoUnknown,0.2.1,draft,,YesNoUnknownCs,Yes No Unknown,"Yes No Unknown",
