URL,Version,Status,OIDs,Name,Title,Descriptino,Used
http://hl7.org/fhir/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.4.2",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","ValueSet/BiologicalSex"
http://terminology.hl7.org/CodeSystem/v2-0532,2.1.0,active,"2.16.840.1.113883.18.347",ExpandedYesNoIndicator,expandedYes-NoIndicator,"HL7-defined code system of concepts used to specify an expansion on the original Yes/No indicator table by including ""flavors of null"".  It is intended to be applied to fields where the response is not limited to ""yes"" or ""no"".  Used in numerous locations in HL7 Version 2.x messaging.","ValueSet/YesNo"
http://worldhealthorganization.github.io/smart-ot/AnimalContactLocation,0.2.1,draft,,AnimalContactLocationCs,Animal Contact Location,"Animal Contact Location","ValueSet/AnimalContactLocation"
http://worldhealthorganization.github.io/smart-ot/AnimalContactType,0.2.1,draft,,AnimalContactTypeCs,Animal Contact Type,"Animal Contact Type","ValueSet/AnimalContactType"
http://worldhealthorganization.github.io/smart-ot/CaseStatus,0.2.1,draft,,CaseStatusCs,Case Status,"Case Status","ValueSet/CaseStatus"
http://worldhealthorganization.github.io/smart-ot/CodeSystem/AntigenCs,0.2.1,draft,,AntigenCs,Antigen Code System,"Antigen Code System","ValueSet/Antigen"
http://worldhealthorganization.github.io/smart-ot/ConfirmationBasis,0.2.1,draft,,ConfirmationBasisCs,Confirmation Basis,"Confirmation Basis","ValueSet/ConfirmationBasis"
http://worldhealthorganization.github.io/smart-ot/ContactType,0.2.1,draft,,ContactTypeCs,Contact Type,"Contact Type","ValueSet/ContactType"
http://worldhealthorganization.github.io/smart-ot/DetectedBy,0.2.1,draft,,DetectedByCs,Detected By Code System,"Detected By Code System","ValueSet/DetectedBy"
http://worldhealthorganization.github.io/smart-ot/DiscardingBasis,0.2.1,draft,,DiscardingBasisCs,Discarding Basis,"Discarding Basis","ValueSet/DiscardingBasis"
http://worldhealthorganization.github.io/smart-ot/DomesticatedWild,0.2.1,draft,,DomesticatedWildCs,Domesticated or Wild,"Domesticated or Wild","ValueSet/DomesticatedWild"
http://worldhealthorganization.github.io/smart-ot/ExposureLocation,0.2.1,draft,,ExposureLocationCs,Exposure Location,"Exposure Location","ValueSet/ExposureLocation,ValueSet/AnimalExposureLocation"
http://worldhealthorganization.github.io/smart-ot/FinalClassification,0.2.1,draft,,FinalClassificationCs,Final Classification,"Final Classification","ValueSet/FinalClassification"
http://worldhealthorganization.github.io/smart-ot/InfectionSetting,0.2.1,draft,,InfectionSettingCs,InfectionSetting,"InfectionSetting","ValueSet/InfectionSetting"
http://worldhealthorganization.github.io/smart-ot/LocType,0.2.1,draft,,LocTypeCs,Locality Type Code System,"Locality Type Code System","ValueSet/LocType"
http://worldhealthorganization.github.io/smart-ot/LocalCasesPresent,0.2.1,draft,,LocalCasesPresentCs,LocalCasesPresent,"LocalCasesPresent","ValueSet/LocalCasesPresent"
http://worldhealthorganization.github.io/smart-ot/LocalizationOfSkinDisorder,0.2.1,draft,,LocalizationOfSkinDisorderCs,Localization of Skin Disorder,"Localization of Skin Disorder","ValueSet/LocalizationOfSkinDisorder"
http://worldhealthorganization.github.io/smart-ot/NoOfDoses,0.2.1,draft,,NoOfDosesCs,Number of Doses,"Number of Doses","ValueSet/NoOfDoses"
http://worldhealthorganization.github.io/smart-ot/PathogenTested,0.2.1,draft,,PathogenTestedCs,Pathogen Tested,"Pathogen Tested","ValueSet/PathogenTested"
http://worldhealthorganization.github.io/smart-ot/PatientOutcome,0.2.1,draft,,PatientOutcomeCs,Patient Clinical Course Outcome,"Patient Clinical Course Outcome","ValueSet/PatientOutcome"
http://worldhealthorganization.github.io/smart-ot/PlaceOfCare,0.2.1,draft,,PlaceOfCareCs,Place Of Care,"Place Of Care","ValueSet/PlaceOfCare"
http://worldhealthorganization.github.io/smart-ot/ProvType,0.2.1,draft,,ProvTypeCs,Type of Provider Code System,"Type of Provider Code System","ValueSet/ProvType"
http://worldhealthorganization.github.io/smart-ot/RashType,0.2.1,draft,,RashTypeCs,Rash Type,"Rash Type","ValueSet/RashType"
http://worldhealthorganization.github.io/smart-ot/ReportedBy,0.2.1,draft,,ReportedByCs,Reported By,"Reported By","ValueSet/ReportedBy"
http://worldhealthorganization.github.io/smart-ot/Result,0.2.1,draft,,ResultCs,Result Code System,"Result Code System","ValueSet/Result"
http://worldhealthorganization.github.io/smart-ot/Results,0.2.1,draft,,ResultsCs,Results,"Results","ValueSet/Results"
http://worldhealthorganization.github.io/smart-ot/RouteOfAdministration,0.2.1,draft,,RouteOfAdministrationCs,Route Of Administration,"Route Of Administration","ValueSet/RouteOfAdministration"
http://worldhealthorganization.github.io/smart-ot/SampleType,0.2.1,draft,,SampleTypeCs,Sample Type Code System,"Sample Type Code System","ValueSet/SampleType"
